feature,importance
F1273,0.069671504
F2831,0.026354784
F2030,0.02143843
F2036,0.020737356
F1057,0.019279491
F3633,0.01873798
F1166,0.018554932
F2837,0.017990993
F949,0.016593065
F162,0.016438484
F2472,0.0162931
F3661,0.015699526
F2724,0.014645365
F1814,0.013820215
F1921,0.01373527
F3898,0.013434483
F2029,0.013334262
F2527,0.012971512
F3474,0.012962946
F2574,0.012292682
F3914,0.012217489
F2390,0.012036457
F1058,0.0099207545
F2489,0.009515557
F2680,0.009468743
F3920,0.009450653
F2654,0.009163453
F428,0.008705232
F2835,0.008507213
F367,0.008351432
F2593,0.0082326885
F268,0.0078184055
F1599,0.0076828934
F2385,0.0076545505
F2551,0.0074961944
F2596,0.0073839454
F415,0.0073283715
F413,0.0071833334
F3240_missing,0.007038425
F3919,0.0069681015
F270,0.006819282
F2800,0.0066270353
F2286,0.006559692
F2525,0.006546307
F1,0.0064443494
F1489,0.006431515
F2721,0.006247124
F313,0.0061247707
F3769,0.006017056
F510,0.0059909853
F2487,0.005888666
F3812,0.0058214366
F1598,0.0054701413
F1820,0.0052460674
F59_missing,0.0051179184
F207,0.005064687
F3800,0.00503595
F2529,0.0048171766
F950,0.0048068305
F3520,0.0047551566
F157,0.004702732
F1165,0.0046584937
F2484,0.00457327
F3799,0.0045039263
F3806,0.0044641723
F3871,0.0044385837
F1927,0.0044245822
F429,0.004279231
F2240,0.003906221
F56,0.003879642
F1929,0.0038027596
F2584,0.0036436794
F2933,0.0035636793
F2339,0.0035179905
F1856,0.0034698932
F474,0.0033540837
F586,0.003326851
F228,0.003265089
F2022,0.0032431995
F68,0.0032092414
F112,0.0031758978
F2859,0.0031211416
F3143,0.0030959041
F3746,0.003092174
F263,0.0030457666
F2536,0.0030271222
F18,0.0030166495
F2684,0.002955646
F1922,0.0029322745
F3801,0.0028845589
F2660,0.0028027205
F886,0.0027500172
F2482,0.0027173203
F1659,0.002702519
F2290_missing,0.0025434203
F1968,0.0025193752
F3534,0.0024973396
F1747,0.0024353976
F2987,0.0024171353
F3532,0.0023971074
F2520,0.0023921411
F889,0.0023526298
F2891,0.0023081272
F2486,0.0022876076
F2652,0.0022183808
F3136_missing,0.0021804534
F3502,0.0021607794
F61_missing,0.0021526155
F2890,0.0021403024
F730,0.0021361778
F1755,0.002085451
F1923,0.0020213507
F3817,0.0020040951
F3575,0.001957285
F2288_missing,0.0019530433
F371,0.0019437653
F1012,0.0018903784
F193_missing,0.0018785744
F1759,0.0018278457
F622,0.001753144
F3766,0.0017201789
F69,0.0017000284
F1274,0.0016524389
F3484,0.0016187027
F412,0.0016131512
F2643,0.001612667
F1863,0.0016063087
F2391,0.0015829372
F1855,0.0015646085
F3859,0.0015521126
F3495,0.0015454817
F1216,0.001541268
F2786,0.0015412457
F1642,0.0015389433
F2645,0.0015254389
F3537,0.0015202479
F267,0.0015182826
F1645,0.0014439981
F471,0.0014285622
F119,0.0014271834
F996,0.0014233993
F156,0.00138456
F3644,0.001323763
F3643,0.0013005575
F100,0.0012989407
F505,0.0012652364
F2328_missing,0.0012621888
F3395_missing,0.0012499643
