record_id,top_feature_1,top_feature_2,top_feature_3
0,F3025,F3484,F1863
1,F3025,F3484,F1863
2,F3025,F3484,F1863
3,F3025,F3484,F1863
4,F3025,F3484,F1863
5,F3025,F3484,F1863
6,F3025,F3484,F1863
7,F3025,F3484,F1863
8,F3025,F3484,F1863
9,F3025,F3484,F1863
10,F3025,F3484,F1863
11,F3025,F3484,F1863
12,F3025,F3484,F1863
13,F3025,F3484,F1863
14,F3025,F3484,F1863
15,F3025,F3484,F1863
16,F3025,F3484,F1863
17,F3025,F3484,F1863
18,F3025,F3484,F1863
19,F3025,F3484,F1863
20,F3025,F3484,F1863
21,F3025,F3484,F1863
22,F3025,F3484,F1863
23,F3025,F3484,F1863
24,F3025,F3484,F1863
25,F3025,F3484,F1863
26,F3025,F3484,F1863
27,F3025,F3484,F1863
28,F3025,F3484,F1863
29,F3025,F3484,F1863
30,F3025,F3484,F1863
31,F3025,F3484,F1863
32,F3025,F3484,F1863
33,F3025,F3484,F1863
34,F3025,F3484,F1863
35,F3025,F3484,F1863
36,F3025,F3484,F1863
37,F3025,F3484,F1863
38,F3025,F3484,F1863
39,F3025,F3484,F1863
40,F3025,F3484,F1863
41,F3025,F3484,F1863
42,F3025,F3484,F1863
43,F3025,F3484,F1863
44,F3025,F3484,F1863
45,F3025,F3484,F1863
46,F3025,F3484,F1863
47,F3025,F3484,F1863
48,F3025,F3484,F1863
49,F3025,F3484,F1863
50,F3025,F3484,F1863
51,F3025,F3484,F1863
52,F3025,F3484,F1863
53,F3025,F3484,F1863
54,F3025,F3484,F1863
55,F3025,F3484,F1863
56,F3025,F3484,F1863
57,F3025,F3484,F1863
58,F3025,F3484,F1863
59,F3025,F3484,F1863
60,F3025,F3484,F1863
61,F3025,F3484,F1863
62,F3025,F3484,F1863
63,F3025,F3484,F1863
64,F3025,F3484,F1863
65,F3025,F3484,F1863
66,F3025,F3484,F1863
67,F3025,F3484,F1863
68,F3025,F3484,F1863
69,F3025,F3484,F1863
70,F3025,F3484,F1863
71,F3025,F3484,F1863
72,F3025,F3484,F1863
73,F3025,F3484,F1863
74,F3025,F3484,F1863
75,F3025,F3484,F1863
76,F3025,F3484,F1863
77,F3025,F3484,F1863
78,F3025,F3484,F1863
79,F3025,F3484,F1863
80,F3025,F3484,F1863
81,F3025,F3484,F1863
82,F3025,F3484,F1863
83,F3025,F3484,F1863
84,F3025,F3484,F1863
85,F3025,F3484,F1863
86,F3025,F3484,F1863
87,F3025,F3484,F1863
88,F3025,F3484,F1863
89,F3025,F3484,F1863
90,F3025,F3484,F1863
91,F3025,F3484,F1863
92,F3025,F3484,F1863
93,F3025,F3484,F1863
94,F3025,F3484,F1863
95,F3025,F3484,F1863
96,F3025,F3484,F1863
97,F3025,F3484,F1863
98,F3025,F3484,F1863
99,F3025,F3484,F1863
100,F3025,F3484,F1863
101,F3025,F3484,F1863
102,F3025,F3484,F1863
103,F3025,F3484,F1863
104,F3025,F3484,F1863
105,F3025,F3484,F1863
106,F3025,F3484,F1863
107,F3025,F3484,F1863
108,F3025,F3484,F1863
109,F3025,F3484,F1863
110,F3025,F3484,F1863
111,F3025,F3484,F1863
112,F3025,F3484,F1863
113,F3025,F3484,F1863
114,F3025,F3484,F1863
115,F3025,F3484,F1863
116,F3025,F3484,F1863
117,F3025,F3484,F1863
118,F3025,F3484,F1863
119,F3025,F3484,F1863
120,F3025,F3484,F1863
121,F3025,F3484,F1863
122,F3025,F3484,F1863
123,F3025,F3484,F1863
124,F3025,F3484,F1863
125,F3025,F3484,F1863
126,F3025,F3484,F1863
127,F3025,F3484,F1863
128,F3025,F3484,F1863
129,F3025,F3484,F1863
