feature,importance
F1921,304
F3898,221
F3484,175
F3240_missing,172
F3812,168
F2029,145
F949,135
F3914,133
F1165,127
F3395_missing,113
F3908,110
F267,103
F1057,102
F3799,101
F1597,98
F2489,96
F3919,94
F3534,90
F2138,90
F3490,90
F3806,87
F2486,84
F270,69
F3801,66
F3487,63
F3871,60
F1814,55
F3800,50
high_value_count,48
F2290,47
F1922,47
F2390,47
F2585,47
F3493,47
F3841,47
F473,46
F1644,46
F1926,45
F3751,45
F3825,45
row_variance,45
F2387,45
F2388,43
F2891,43
F119,38
F1863,38
F2385,37
F3105,37
F61,37
F265,37
F1705,36
F3913,35
F475,35
F3920,35
F156,34
F466,34
F1166,34
F1971,34
F1706,33
F1927,33
F2859,33
F358,33
F1596,32
F2785,32
F2030,32
F157,32
F1820,31
F673,30
F2752,30
F2637,30
F2077,30
F1058,29
F2527,29
F2286,29
F3896,29
F2837,29
F950,28
F1598,28
F1381,28
F2484,28
F266,27
F1489,27
F566,26
F2686,26
F1929,26
F3526,25
F2536,25
F2736,25
F2780,24
F2663,24
F3532,24
F1647,24
F3519,23
F523,23
F3533,23
F3899,23
F999,23
F160,23
F429,22
F3073,22
F1273,22
F2879,22
F2446,22
F3492,22
F162,22
F2625,21
F1846,21
F2786,21
F3537,21
F2480,21
F1968,21
F114,21
F423,21
F159,20
F1646,20
F2293,20
F261,19
F116,19
F2675,19
F2684,19
F1594,19
F340,19
F3643,19
F1966,18
F64,18
F2487,18
F2784,18
F573,18
F1754,18
F2967,17
F368,17
F2652,17
F421,17
F3602,16
F3489,16
F158,16
F2718,16
F625,16
F402,16
F1862,16
F1645,16
F2290_missing,16
F461,16
F2643,15
F570,15
F3644,15
F572,15
F2328_missing,15
F228,15
F2291,14
F1603,14
F367,14
F427,14
F3798,14
F1383,14
F1923,14
F2250,14
F117,14
F3144,13
F3817,13
F3835,13
F3628,13
F2835,13
F56,13
F2380,13
F2825,13
F3796,13
F161,13
F112,13
F369,12
F400,12
F2588,12
F2581,12
F2716,12
F3131,12
F3627,12
F1605,12
F463,12
F268,12
F3832,12
F2493,12
F465,12
F2679,12
F3531,12
F2787,12
F2848,12
F1490,12
F2702,11
F2340,11
F3535,11
F2843,11
F538,11
F3752,11
F2292,11
F889,11
F374,11
F3865,11
F471,11
F2386,11
F1855,11
F2583,11
F470,11
F59,11
F3502,11
F63,10
F569,10
F2907,10
F2841,10
F469,10
F1274,10
F1599,10
F24,10
F3529,10
F2699,10
F2800,10
F366,10
F2436,10
F1747,10
F2999,10
F2678,10
F118,9
F2681,9
F3495,9
F2482,9
F2956,9
F2796,9
F2350,9
F2680,9
F508,9
F1279,9
F951,9
F3754,9
F3472,9
F1643,9
F2441,8
F2389,8
F53,8
F955,8
F2698,8
F571,8
F1495,8
F2345,8
F484,8
F3790,8
F1802,8
F3103,8
F428,8
F2849,8
F598,8
F62,8
F2903,8
F510,8
F1642,8
F2525,7
F2890,7
F2566,7
F2485,7
F3661,7
F2623,7
F2443,7
F3633,7
F2617,7
F3091_missing,7
F467,7
F3718,7
F2676,7
F2691,7
F3795,7
F219,7
F3582,7
F1755,7
F3838,7
F2554,7
F2797,7
F3868,7
F3043,7
F361,7
F2645,7
F2177,7
F1099,7
F58,7
F2488,7
F422,6
F2884,6
F2342,6
F409,6
F574,6
F2_missing,6
F2770,6
F2933,6
F2619,6
F1908,6
F3766,6
F2576,6
F1712,6
F1382,6
F2688,6
F120,6
F2346,6
F2002,6
F2288,6
F511,6
F3741,6
F2823,6
F406,6
F2240,6
F1907,6
F2457,6
F2438,6
F68,5
F2685,5
F193_missing,5
F2144,5
F69,5
F2022,5
F957,5
F2289,5
F76,5
F3885,5
F382,5
F670,5
F1172,5
F2584,5
F223,5
F221,5
F224,5
F2598,5
F3401_missing,5
F55,5
F109,5
F1,5
F1920,5
F3098_missing,5
F60,5
F2654,5
F1093,5
F2792,5
F3730,5
F18,5
F2889,4
F163_missing,4
F20,4
F111,4
F2728,4
F1275,4
F3476,4
F371,4
